"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b19013001","mhi","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","rev","s5metric"
11010,425,"Manassa town, Colorado","8","",48060,"","","10848060","33375",33375,"C1","0840","0451","Manassa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412937,"Manassa, Town of",236013.2,0.0166389565983697
11013,156,"Romeo town, Colorado","8","",65740,"","","10865740","20833",20833,"C1","1140","0570","Romeo",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412574,"Romeo, Town of",98175.6,0.030208360256841
11016,350,"Sanford town, Colorado","8","",67830,"","","10867830","56250",56250,"C1","1165","0580","Sanford",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413256,"Sanford, Town of",113035.8,0.00574150095238095
12001,167,"Blanca town, Colorado","8","",7190,"","","10807190","30250",30250,"C1","0095","0144","Blanca",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411696,"Blanca, Town of",111972.92,0.0221651744444994
13002,88,"Crowley town, Colorado","8","",18750,"","","10818750","27344",27344,"C1","0290","0231","Crowley",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412394,"Crowley, Town of",244185.82,0.101478893491675
13004,161,"Olney Springs town, Colorado","8","",55705,"","","10855705","31458",31458,"C1","0975","0502","Olney Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413079,"Olney Springs, Town of",161217.12,0.0318312852510831
13006,540.8,"Ordway town, Colorado","8","",56145,"","","10856145","27589",27589,"C1","0995","0506","Ordway",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413090,"Ordway, Town of",401820.88,0.0269314575464323
13007,151,"Sugar City town, Colorado","8","",74815,"","","10874815","32500",32500,"C1","1265","0620","Sugar City",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413346,"Sugar City, Town of",164670.16,0.0335547957208355
15003,1181.8,"Cedaredge town, Colorado","8","",12635,"","","10812635","33030",33030,"C1","0190","0185","Cedaredge",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413184,"Cedaredge, Town of",1076445.6,0.0275765243031266
15005,212,"Crawford town, Colorado","8","",17925,"","","10817925","35192",35192,"C1","0260","0224","Crawford",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412382,"Crawford, Town of",172489.04,0.0231196734249208
15015,3857,"Delta city, Colorado","8","",19850,"","","10819850","42314",42314,"C1","0315","0241","Delta",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410319,"Delta, City of",2779679.62,0.0170318185771378
15020,471,"Hotchkiss town, Colorado","8","",37545,"","","10837545","31818",31818,"C1","0640","0375","Hotchkiss",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412771,"Hotchkiss, Town of",528972.84,0.0352971458290044
15025,788.8,"Paonia town, Colorado","8","",57300,"","","10857300","40759",40759,"C1","1035","0515","Paonia",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413109,"Paonia, Town of",864009.2,0.0268737297010324
16002,289289.6,"Denver city, Colorado","8","",20000,"","","10820000","53637",53637,"C1","0320","0242","Denver",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410324,"Denver, City And County of",305184640,0.0196682342274217
17003,360,"Dove Creek town, Colorado","8","",21265,"","","10821265","36688",36688,"C1","0340","0250","Dove Creek",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412446,"Dove Creek, Town of",287229.32,0.0217471440858652
17007,210.4,"Rico town, Colorado","8","",64090,"","","10864090","31458",31458,"C1","1115","0560","Rico",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412550,"Rico, Town of",139194.34,0.0210302643853462
18003,18300.2,"Castle Rock town, Colorado","8","",12415,"","","10812415","88294",88294,"C1","0185","0184","Castle Rock",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413179,"Castle Rock, Town of",19451802.82,0.0120385125614947
18021,90,"Larkspur town, Colorado","8","",43550,"","","10843550","44688",44688,"C1","0770","0423","Larkspur",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412878,"Larkspur, Town of",147151.12,0.0365872816963042
19009,2425.2,"Eagle town, Colorado","8","",22200,"","","10822200","78066",78066,"C1","0360","0258","Eagle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412456,"Eagle, Town of",2959104.38,0.015629705608764
19020,2258,"Gypsum town, Colorado","8","",33695,"","","10833695","88698",88698,"C1","0595","0351","Gypsum",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412716,"Gypsum, Town of",1835953.52,0.00916693004782243
19024,535,"Minturn town, Colorado","8","",50920,"","","10850920","63947",63947,"C1","0890","0473","Minturn",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413005,"Minturn, Town of",978363.125,0.028597371596718
19026,141.2,"Red Cliff town, Colorado","8","",63265,"","","10863265","68125",68125,"C1","1110","0555","Red Cliff",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412535,"Red Cliff, Town of",371944.72,0.0386667068638407
20004,531.6,"Elizabeth town, Colorado","8","",23740,"","","10823740","53542",53542,"C1","0385","0276","Elizabeth",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412474,"Elizabeth, Town of",1044300.58,0.0366898517732217
20005,322,"Kiowa town, Colorado","8","",40790,"","","10840790","58750",58750,"C1","0715","0404","Kiowa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412838,"Kiowa, Town of",1989454.26,0.105164755385225
20006,266,"Simla town, Colorado","8","",70635,"","","10870635","41953",41953,"C1","1230","0598","Simla",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413290,"Simla, Town of",220070.96,0.0197205071410918
21006,349.4,"Calhan town, Colorado","8","",11260,"","","10811260","45179",45179,"C1","0165","0175","Calhan",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413149,"Calhan, Town of",352568.4,0.0223348926884528
21030,2848.2,"Manitou Springs city, Colorado","8","",48445,"","","10848445","49139",49139,"C1","0850","0453","Manitou Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411021,"Manitou Springs, City of",1825367.14,0.0130422773638639
21036,68,"Ramah town, Colorado","8","",62660,"","","10862660","31250",31250,"C1","1090","0550","Ramah",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412523,"Ramah, Town of",47029.64,0.0221315952941176
