"LG_ID","NAME","EXP_PRINCIPAL","EXP_INTEREST","EXP_OPERATING","EXP_TRANSFER_OUT","rev","housingunits","mhi","s5metric"
27005,"Lake City",4074.2,414.2,413640.4,0,418577.64,453.8,44821,0.0205792712560592
28007,"La Veta",31888,25533.2,303884.4,0,367047.72,567.4,29792,0.0217136853349952
28010,"Walsenburg",225351.6,386910.6,1188271.4,0,1861759.82,1762,24928,0.0423867690139429
29006,"Walden",50469.8,20369,131249,153124.6,362296.28,377.8,44276,0.0216587576815549
30020,"Edgewater",0,0,1348077,9862.2,1357939.2,2438.4,44148,0.0126143344612502
30035,"Golden",1319000,337928.8,5030988,238780,7092389.68,7852,58998,0.0153099935850075
30055,"Lakewood",0,0,4137564.6,122450.4,4260015,66285,56954,0.00112842223930266
30065,"Morrison",115711.2,29207.6,513451.2,0,672861.88,141,59583,0.0800911345672757
31002,"Eads",27137.8,55164.2,204531.2,20000,315063.4,352,36150,0.0247597919024268
32001,"Bethune",13937,0,41404.4,0,56735.1,84,37500,0.0180111428571429
32004,"Burlington",394800.2,31837.4,668222.6,173095.4,1310619.36,1479.6,42457,0.0208632975750037
32010,"Flagler",18908.8,10355.2,135792.2,8800,176782.6,328,26125,0.0206304819698915
32015,"Seibert",22716.6,2729.6,65023.2,3374,96388.02,122.8,NA,NA
32020,"Stratton",63722.2,25567.8,184354.8,10000,292573.8,346,42632,0.0198346082131038
32023,"Vona",7089,4093.4,26302.2,20,38622.84,61,31250,0.0202611619672131
34005,"Bayfield",238257.4,167154.4,840856.4,26159.6,1312968.98,1004.8,64087,0.0203894211804435
34008,"Durango",33900.4,15352.6,4762070.6,556863.2,5373112.1,7961.2,57024,0.0118355839179307
34015,"Ignacio",25621.2,31456.4,600561.4,23000,686346.76,309.8,48333,0.0458372360449617
35009,"Fort Collins",5572312.8,2133294,25514171.4,3978514.2,37968853.08,62259.6,55647,0.0109592137256152
35026,"Loveland",0,24615.2,12082686.6,2408202.6,14517965.92,29454.6,56277,0.00875833807641769
35047,"Wellington",333314.6,166783.6,1335704.4,0,1885812.42,2355,76917,0.0104108273216004
36001,"Aguilar",33870.2,46505,221106.6,0,309519.32,290,36701,0.0290811694504237
36004,"Cokedale",5634.4,6182.2,67195.4,0,80193.66,94.6,57857,0.0146518676706779
36011,"Trinidad",380249.4,122931.2,2741795.4,456084.4,3751378.46,4365.4,43819,0.0196112092711715
37002,"Arriba",22106.8,1271.2,77823.2,0,103539,129,36071,0.0222513350607619
37004,"Genoa",16482.2,6871,56041.8,800,82530.32,84,37321,0.026325763230455
37006,"Hugo",0,0,187842.4,7400,195242.4,409.4,32321,0.0147550780113392
37007,"Limon",218295.8,161290.2,525259.2,0,942803.8,966,31776,0.0307146075843534
38002,"Crook",7530,375.8,42321.4,0,51017.78,76,38125,0.017607516824849
38005,"Fleming",0,0,89108,0,89108,204.4,41875,0.0104107252387768
38007,"Iliff",5874,982.6,41335.8,17554.2,66432.26,128.2,36250,0.0142949615363925
38011,"Merino",695.6,271.8,77721,0,78785.14,120.8,39773,0.0163979299411578
38016,"Peetz",0,0,48023.6,13200,61223.6,106,34750,0.016621039771956
38019,"Sterling",1607441.2,461857.2,2571681.2,515438.4,5363347.84,5408.8,35732,0.027750941109308
39011,"Collbran",0,0,167225.6,4840,172065.6,223.2,32361,0.0238219840489
39012,"De Beque",29676.8,12102.4,251260,0,297217.12,224.2,44000,0.030129056848593
39034,"Palisade",206053.6,148730.6,773531.6,0,1163794.22,1292.2,43167,0.0208638567354488
40001,"Creede",41196.8,23113.4,196154.8,22000,288896.02,272,32188,0.0329973195162245
41004,"Craig",317623.2,181713.2,3019772.6,14726.6,3583769.24,4088.2,49590,0.0176772130166055
41005,"Dinosaur",8885,4145,76899.8,0,91232.8,175,42083,0.0123881445171277
42008,"Dolores",27410.6,7607.2,300975.2,6656.2,346150.98,501.6,34813,0.0198228724984081
42016,"Mancos",75016.4,11343.4,270225.4,174770.8,539991.98,615.8,36729,0.023874732863194
43004,"Montrose",502235.4,196317,4643353.6,795843,6207604.24,8715.2,41717,0.0170739338214117
43005,"Naturita",17877.8,802.4,269324.4,0,289872.62,316,32813,0.0279559448304489
43007,"Nucla",36400,5972.4,341652.2,0,388261.84,369.4,30000,0.0350353582385851
43012,"Olathe",24676,65462,411797.8,8000,518949.6,634,36569,0.0223832342178776
44001,"Brush",313945.2,130821.2,1187118.2,448400,2124761.24,2295,44457,0.0208251094555984
44006,"Fort Morgan",2044523.2,1104448.8,4409658.2,0,7873527.4,4281.2,45403,0.0405059923770617
44007,"Hillrose",35855.8,8641.4,85185,0,134131.92,124,33750,0.0320506379928315
44009,"Log Lane Village",63441.6,66124,319946.2,0,462468.36,344,35083,0.0383201199282234
44016,"Wiggins",114426,71355.8,257121.4,0,461481.38,344.6,48000,0.0278995804314181
45001,"Cheraw",11994.4,746.4,69255.6,1000,84270.48,115,36429,0.0201154789483295
45004,"Fowler",35766.6,15394.8,384360.4,484.4,441122.34,597,30850,0.0239513255092317
45007,"La Junta",591462.8,219498.8,2594655.8,233240,3719953.56,3423.2,31113,0.0349271665969354
45009,"Manzanola",25945.2,7099.4,176602.6,0,212951.66,198,29844,0.0360378446033854
45014,"Rocky Ford",144535,66268.6,1101012.2,418,1333314.16,1869,27088,0.0263357838605886
45015,"Swink",48690,13356.2,149628.8,25000,242879.62,286,36932,0.0229944070334518
46007,"Ouray",139246.2,31295,528636.2,0,716231.52,799.8,66750,0.0134159292632147
46009,"Ridgway",69952.6,19444.8,513124.2,9323,620784.34,513.2,51442,0.0235145276931912
47001,"Alma",23940.6,18932.2,141442.6,0,188602.68,191.8,45000,0.0218517761557178
48004,"Haxtun",13964,4547.2,195455.4,18000,233817.72,500.2,39167,0.01193475274123
48005,"Holyoke",0,0,1866151,333500,2199651,1035.2,43419,0.0489383925576496
48006,"Paoli",0,0,8229.25,117,8346.25,23,29750,0.012197661673365
50007,"Granada",7854,20314.5,494389.5,18000,543374.85,243,28173,0.0793706915780059
50011,"Holly",0,0,178654.6,12315,190969.6,382.4,34615,0.0144271988889137
50012,"Lamar",472594.4,128298.2,1330780.2,381991.6,2373753.66,3675.4,35487,0.0181995960990854
51005,"Boone",25385.6,0,123210.8,0,151134.96,183.2,25000,0.0329988995633188
51016,"Pueblo",3679917.2,3145839.2,30743666.4,52498,38304496.44,47844,34550,0.02317257113114
51018,"Rye",19416.6,10572,98881,6000,137868.46,115,55938,0.021431874109068
52015,"Rangely",60821.8,37099.4,810835.8,44072.8,962621.92,1029.8,68750,0.0135965948551352
53002,"Del Norte",46405.8,6856.4,443163.8,0,501752.22,855.8,29032,0.0201948236631621
53005,"Monte Vista",70674,20134,1093586.2,211602.6,1405077.6,1972.4,37188,0.0191558970390289
54005,"Hayden",85377.4,37408.6,675851,0,810915.6,812,54013,0.0184893364934313
54010,"Oak Creek",302902.6,76382.2,374764,7181,799158.28,511.8,39773,0.0392594464402208
54023,"Steamboat Springs",827209,549119,2678553.2,31884.8,4224398.8,10022.4,56125,0.00750994618379996
54030,"Yampa",9000,1710.4,204215,0,215996.44,215.2,56458,0.0177778335996321
55004,"Crestone",14268.6,7606.6,36191.4,4473.8,64727.92,112.8,25625,0.0223933298737243
55008,"Saguache",1594.6,133.6,149800.2,0,151701.22,345.8,27386,0.0160190029252977
56002,"Silverton",44869,10322.8,147529.4,272140.8,480381.18,503,35699,0.0267523506820362
57014,"Telluride",404338.4,401301.8,1082098.4,354838.2,2323140.82,2097,62000,0.0178683897118772
