"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b25077001","mhv","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","debt","s4metric"
10009,145,"Silver Plume town, Colorado","8","",70360,"","","10870360","176900",176900,"C1","1220","0595","Silver Plume",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413287,"Silver Plume, Town of",2434520,0.0949112103077913
11001,407,"Antonito town, Colorado","8","",2355,"","","10802355","81900",81900,"C1","0025","0113","Antonito",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412370,"Antonito, Town of",26926,0.000807780807780808
11009,355.2,"La Jara town, Colorado","8","",42055,"","","10842055","104100",104100,"C1","0740","0411","La Jara",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412855,"La Jara, Town of",3156250,0.0853586836115655
11010,425,"Manassa town, Colorado","8","",48060,"","","10848060","86600",86600,"C1","0840","0451","Manassa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412937,"Manassa, Town of",4728660,0.128478739301725
11013,156,"Romeo town, Colorado","8","",65740,"","","10865740","66300",66300,"C1","1140","0570","Romeo",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412574,"Romeo, Town of",727279,0.0703174188807673
11016,350,"Sanford town, Colorado","8","",67830,"","","10867830","104900",104900,"C1","1165","0580","Sanford",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413256,"Sanford, Town of",0,0
12001,167,"Blanca town, Colorado","8","",7190,"","","10807190","78100",78100,"C1","0095","0144","Blanca",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411696,"Blanca, Town of",894747,0.0686013632146718
13002,88,"Crowley town, Colorado","8","",18750,"","","10818750","62900",62900,"C1","0290","0231","Crowley",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412394,"Crowley, Town of",6323862,1.14248121115768
13004,161,"Olney Springs town, Colorado","8","",55705,"","","10855705","55600",55600,"C1","0975","0502","Olney Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413079,"Olney Springs, Town of",2730217,0.304997654050673
13006,540.8,"Ordway town, Colorado","8","",56145,"","","10856145","63600",63600,"C1","0995","0506","Ordway",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413090,"Ordway, Town of",5403374,0.157098207640207
13007,151,"Sugar City town, Colorado","8","",74815,"","","10874815","49400",49400,"C1","1265","0620","Sugar City",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413346,"Sugar City, Town of",2903172,0.389196450116631
15003,1181.8,"Cedaredge town, Colorado","8","",12635,"","","10812635","167000",167000,"C1","0190","0185","Cedaredge",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413184,"Cedaredge, Town of",11658722,0.0590731990072993
15005,212,"Crawford town, Colorado","8","",17925,"","","10817925","146900",146900,"C1","0260","0224","Crawford",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412382,"Crawford, Town of",0,0
15015,3857,"Delta city, Colorado","8","",19850,"","","10819850","161600",161600,"C1","0315","0241","Delta",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410319,"Delta, City of",12164150,0.0195159983006338
15020,471,"Hotchkiss town, Colorado","8","",37545,"","","10837545","166900",166900,"C1","0640","0375","Hotchkiss",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412771,"Hotchkiss, Town of",5357270,0.0681500676123491
15025,788.8,"Paonia town, Colorado","8","",57300,"","","10857300","155700",155700,"C1","1035","0515","Paonia",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413109,"Paonia, Town of",13113131,0.106770403829594
16002,289289.6,"Denver city, Colorado","8","",20000,"","","10820000","271300",271300,"C1","0320","0242","Denver",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410324,"Denver, City And County of",2336870000,0.0297750115438166
17003,360,"Dove Creek town, Colorado","8","",21265,"","","10821265","86900",86900,"C1","0340","0250","Dove Creek",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412446,"Dove Creek, Town of",499678,0.0159723181178877
17007,210.4,"Rico town, Colorado","8","",64090,"","","10864090","260000",260000,"C1","1115","0560","Rico",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412550,"Rico, Town of",154871,0.00283107268207078
18003,18300.2,"Castle Rock town, Colorado","8","",12415,"","","10812415","296600",296600,"C1","0185","0184","Castle Rock",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413179,"Castle Rock, Town of",444235950,0.0818439758087754
18021,90,"Larkspur town, Colorado","8","",43550,"","","10843550","",NA,"C1","0770","0423","Larkspur",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412878,"Larkspur, Town of",2471876,NA
19009,2425.2,"Eagle town, Colorado","8","",22200,"","","10822200","399700",399700,"C1","0360","0258","Eagle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412456,"Eagle, Town of",75373512,0.0777565608644881
19020,2258,"Gypsum town, Colorado","8","",33695,"","","10833695","319600",319600,"C1","0595","0351","Gypsum",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412716,"Gypsum, Town of",16900858,0.0234195229643786
