geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
2,1080010090022,124300,50465,40179,32293
3,1080010090023,164300,22201,53221,15024
4,1080010090024,172500,22053,88398,29001
5,1080010090025,164200,6409,50994,14830
1,1080010091011,169800,24191,64191,7271
2,1080010091012,150800,10837,48750,17205
3,1080010091013,140700,14651,48690,10856
1,1080010091031,105300,42960,55373,6627
2,1080010091032,21800,18410,41250,15737
1,1080010091041,152400,28045,55000,14654
2,1080010091042,183200,14739,67861,13235
1,1080010092021,150000,12305,49940,11199
2,1080010092022,148300,13219,47212,16590
3,1080010092023,159900,21509,51071,17255
1,1080010092031,226600,20324,43958,34300
3,1080010092033,,,35417,5515
1,1080010092041,274300,49863,61035,5651
2,1080010092042,209800,45939,65398,29755
3,1080010092043,214700,20408,79031,10578
1,1080010092061,201700,13044,72574,14910
1,1080010092071,195300,18486,51098,7945
2,1080010092072,175700,14452,64861,19449
1,1080010093041,229800,15468,91016,31099
2,1080010093042,187900,17757,40875,24540
3,1080010093043,143500,13198,43480,2149
4,1080010093044,207100,30102,41472,10641
5,1080010093045,154000,47552,51567,9201
1,1080010093061,179000,9001,61250,15485
2,1080010093062,184300,20686,62643,26715
1,1080010093071,188600,14673,53160,7121
2,1080010093072,174000,17394,40625,10793
1,1080010093081,168100,19270,61125,35655
2,1080010093082,134300,15514,57031,15978
3,1080010093083,167200,14391,47115,24418
4,1080010093084,164100,40854,30545,9929
1,1080010093091,161600,11257,41210,2449
2,1080010093092,185400,27445,60331,18484
1,1080010093101,174000,13781,51700,4766
2,1080010093102,155800,12547,59630,7716
3,1080010093103,167800,8924,43140,5944
4,1080010093104,162100,12115,45114,25181
1,1080010093161,61200,25657,53955,14640
2,1080010093162,18000,14774,42708,26556
3,1080010093163,26400,7145,28438,7015
4,1080010093164,,,67150,11066
5,1080010093165,33900,28950,37879,14002
1,1080010093181,106300,80470,36391,5517
2,1080010093182,126800,46366,34744,14478
1,1080010093191,137500,5785,28452,7093
2,1080010093192,116300,34581,39395,7107
3,1080010093193,17100,3943,37361,5614
1,1080010093201,24000,16776,39063,9228
2,1080010093202,55200,13605,40893,7221
1,1080010093211,22900,5177,35927,7254
2,1080010093212,180100,17354,51538,8491
3,1080010093213,,,37193,5389
1,1080010093221,158500,36195,59406,7831
2,1080010093222,20800,6523,41544,9314
1,1080010093231,197500,14734,60179,28361
2,1080010093232,,,26920,12678
3,1080010093233,218000,19252,78984,12850
4,1080010093234,,,41250,14874
1,1080010093251,204100,34383,35714,8121
2,1080010093252,409500,177364,95150,21776
3,1080010093253,354000,36587,90144,13668
1,1080010093261,306000,66227,91538,21205
2,1080010093262,315800,38904,97778,46031
1,1080010093271,224500,12379,66250,13434
2,1080010093272,224900,15704,88092,30668
3,1080010093273,228400,19718,30039,6038
4,1080010093274,246200,49855,63262,10211
1,1080010094011,175600,38650,64886,9914
2,1080010094012,167300,14792,47661,13130
3,1080010094013,185300,10291,58708,4613
1,1080010094061,178100,7748,62770,11517
2,1080010094062,217400,16792,58977,14397
1,1080010094071,161400,7616,44492,9328
2,1080010094072,184000,13266,53438,15361
3,1080010094073,222600,13241,75909,24202
1,1080010094081,313900,25724,107066,12356
1,1080010094091,310700,44593,93229,39848
2,1080010094092,259000,25078,89022,36387
1,1080010094101,383200,36249,114205,21898
2,1080010094102,337800,13124,114432,32472
1,1080010094111,289000,13568,89519,26389
2,1080010094112,232600,13239,65714,7467
1,1080010095011,162600,11135,38271,7148
2,1080010095012,165600,7505,36654,10771
1,1080010095021,167400,12768,47019,13316
2,1080010095022,174000,31080,56136,31068
3,1080010095023,,,57361,33909
1,1080010095531,163200,11782,53958,8076
2,1080010095532,188100,38167,45101,12182
1,1080010096031,176800,11321,59260,21300
2,1080010096032,138800,23802,75125,49995
3,1080010096033,173900,14517,59150,16069
4,1080010096034,,,26731,15905
5,1080010096035,,,33391,9382
1,1080010096041,159000,7223,34410,4771
2,1080010096042,157800,12169,45676,8850
1,1080010096061,139600,41016,25898,15452
2,1080010096062,152300,64839,40769,11263
1,1080010096071,207500,19388,75673,21895
2,1080010096072,224700,11307,58750,12371
3,1080010096073,,,24766,8206
1,1080010096081,210600,10021,57669,5462
2,1080010096082,189600,14981,82264,17932
1,1080010097511,,,41336,12381
2,1080010097512,144600,95693,43511,5073
1,1080010097521,195000,23247,44904,7399
2,1080010097522,193300,19273,57417,6690
1,1080010150001,32600,13531,36929,9581
2,1080010150002,132500,85552,37639,7097
1,1080010600001,361000,16805,110212,13478
2,1080010600002,495100,48093,140625,26139
1,1080010601001,278700,22104,89960,22974
2,1080010601002,236600,35847,64873,30719
1,1080010602001,104800,16550,46842,9404
2,1080010602002,403000,48628,122083,56873
1,1080010612001,324000,33332,112333,21040
1,1080019887001,,,,
1,1080039600001,150800,23781,38929,15792
2,1080039600002,157700,27753,42813,13753
1,1080039601001,133700,19863,44261,11150
2,1080039601002,192300,24541,45938,9592
3,1080039601003,151500,20942,51250,16688
1,1080039602001,175800,32322,48315,31623
2,1080039602002,124500,21823,,
3,1080039602003,124200,31104,62837,32881
4,1080039602004,170600,18855,41515,8618
5,1080039602005,155700,18520,56000,51890
6,1080039602006,164200,22487,9316,1107
1,1080039603001,121100,41874,27757,7167
2,1080039603002,114000,24900,26646,4045
3,1080039603003,156700,53384,20833,18173
4,1080039603004,103800,19435,25136,7072
1,1080050049511,111800,12433,35707,2328
1,1080050049521,,,34231,12321
2,1080050049522,,,48214,13299
1,1080050055511,119600,17176,47270,7587
2,1080050055512,132900,12893,31250,9083
1,1080050055521,52700,13137,46607,12730
2,1080050055522,147900,21238,22730,9842
1,1080050055531,147700,17408,51220,2083
2,1080050055532,216900,12701,74583,14215
3,1080050055533,195700,19507,48772,6070
1,1080050056111,374200,40571,96667,44716
2,1080050056112,285500,22091,68864,13491
3,1080050056113,245600,18937,50978,8655
4,1080050056114,291100,25647,66875,10133
1,1080050056121,1083900,91905,250001,
2,1080050056122,223700,36991,52852,7915
1,1080050056141,295400,19961,86129,8531
2,1080050056142,274100,27316,82083,16542
3,1080050056143,296800,35282,88889,37582
1,1080050056191,698400,73450,112083,36283
2,1080050056192,292000,34108,93095,16559
3,1080050056193,239400,25151,66389,4578
