"LG_ID","housingunits","geoname","state","county","place","tract","bg","geonum","b25077001","mhv","FIPS_CLASS_CODE","PLACECE","DOR_CODE","NAME.x","CREATED_ON","CREATED_BY","UPDATED_ON","UPDATED_BY","FEATURE_ID","NAME.y","debt","s4metric"
10009,145,"Silver Plume town, Colorado","8","",70360,"","","10870360","176900",176900,"C1","1220","0595","Silver Plume",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413287,"Silver Plume, Town of",486904,0.0189822420615583
11010,425,"Manassa town, Colorado","8","",48060,"","","10848060","86600",86600,"C1","0840","0451","Manassa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412937,"Manassa, Town of",945732,0.0256957478603451
13002,88,"Crowley town, Colorado","8","",18750,"","","10818750","62900",62900,"C1","0290","0231","Crowley",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412394,"Crowley, Town of",1264772.4,0.228496242231536
13004,161,"Olney Springs town, Colorado","8","",55705,"","","10855705","55600",55600,"C1","0975","0502","Olney Springs",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413079,"Olney Springs, Town of",716852,0.0800808793958622
13006,540.8,"Ordway town, Colorado","8","",56145,"","","10856145","63600",63600,"C1","0995","0506","Ordway",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413090,"Ordway, Town of",1080674.8,0.0314196415280414
13007,151,"Sugar City town, Colorado","8","",74815,"","","10874815","49400",49400,"C1","1265","0620","Sugar City",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413346,"Sugar City, Town of",580634.4,0.0778392900233263
15003,1181.8,"Cedaredge town, Colorado","8","",12635,"","","10812635","167000",167000,"C1","0190","0185","Cedaredge",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413184,"Cedaredge, Town of",2331744.4,0.0118146398014599
15005,212,"Crawford town, Colorado","8","",17925,"","","10817925","146900",146900,"C1","0260","0224","Crawford",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412382,"Crawford, Town of",0,0
15015,3857,"Delta city, Colorado","8","",19850,"","","10819850","161600",161600,"C1","0315","0241","Delta",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410319,"Delta, City of",2432830,0.00390319966012676
15020,471,"Hotchkiss town, Colorado","8","",37545,"","","10837545","166900",166900,"C1","0640","0375","Hotchkiss",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412771,"Hotchkiss, Town of",1071454,0.0136300135224698
15022,1422.8,"Orchard City town, Colorado","8","",55980,"","","10855980","178700",178700,"C1","0985","0505","Orchard City",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413088,"Orchard City, Town of",0,0
15025,788.8,"Paonia town, Colorado","8","",57300,"","","10857300","155700",155700,"C1","1035","0515","Paonia",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413109,"Paonia, Town of",2622626.2,0.0213540807659188
16002,289289.6,"Denver city, Colorado","8","",20000,"","","10820000","271300",271300,"C1","0320","0242","Denver",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2410324,"Denver, City And County of",467374000,0.00595500230876332
17003,360,"Dove Creek town, Colorado","8","",21265,"","","10821265","86900",86900,"C1","0340","0250","Dove Creek",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412446,"Dove Creek, Town of",99935.6,0.00319446362357755
17007,210.4,"Rico town, Colorado","8","",64090,"","","10864090","260000",260000,"C1","1115","0560","Rico",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412550,"Rico, Town of",30974.2,0.000566214536414156
18003,18300.2,"Castle Rock town, Colorado","8","",12415,"","","10812415","296600",296600,"C1","0185","0184","Castle Rock",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413179,"Castle Rock, Town of",88847190,0.0163687951617551
18021,90,"Larkspur town, Colorado","8","",43550,"","","10843550","",NA,"C1","0770","0423","Larkspur",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412878,"Larkspur, Town of",107303,NA
19003,3628,"Avon town, Colorado","8","",4110,"","","10804110","332400",332400,"C1","0057","0128","Avon",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2411658,"Avon, Town of",0,0
19009,2425.2,"Eagle town, Colorado","8","",22200,"","","10822200","399700",399700,"C1","0360","0258","Eagle",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412456,"Eagle, Town of",15074702.4,0.0155513121728976
19020,2258,"Gypsum town, Colorado","8","",33695,"","","10833695","319600",319600,"C1","0595","0351","Gypsum",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412716,"Gypsum, Town of",3380171.6,0.00468390459287573
19024,535,"Minturn town, Colorado","8","",50920,"","","10850920","527300",527300,"C1","0890","0473","Minturn",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2413005,"Minturn, Town of",495495,0.00175641736867945
20005,322,"Kiowa town, Colorado","8","",40790,"","","10840790","131900",131900,"C1","0715","0404","Kiowa",2002-10-18 15:59:43,"OIS",2002-10-18 15:59:43,"OIS",2412838,"Kiowa, Town of",4495326.4,0.105842615570802
