"LG_ID","NAME","CM_FUND_TYPE_ID","EXP_OPERATING","EXP_TRANSFER_OUT","DEPRECIATION","cost","housingunits","mhi","s5metric"
63003,"Eckley",2,46204.8,1000,64992.8,112197.6,132,38375,0.0221493633402428
63003,"Eckley",3,38808,0,8989,47797,132,38375,0.00943579113611687
63010,"Wray",2,176045,80000,69626.8,325671.8,1020.4,40850,0.00781299675122003
63010,"Wray",3,141727.2,0,39723.8,181451,1020.4,40850,0.0043530820706786
63017,"Yuma",2,295945.2,19200,159630.2,474775.4,1490.2,37123,0.0085822385896073
63017,"Yuma",3,234287.4,12000,168763.4,415050.8,1490.2,37123,0.00750263175473578
64009,"Arvada",2,15500200,0,3620400,19120600,45203.8,69938,0.00604802200629923
64009,"Arvada",3,8996200,252200,1125600,10374000,45203.8,69938,0.00328139181267053
64010,"Aurora",2,47217989.8,0,22084299.8,69302289.6,132556,53011,0.00986239053264012
64010,"Aurora",3,38384651.4,0,8549351.4,46934002.8,132556,53011,0.00667916554482242
64017,"Basalt",2,315229.8,178273.6,254086.2,747589.6,1920.4,69583,0.00559459180498599
64029,"Brighton",1,8853497.8,352656.8,4773074.8,13979229.4,11639.4,61051,0.0196725136963404
64030,"Broomfield",2,13281996.2,2614574.4,5957645.6,21854216.2,23372.8,81898,0.0114169788406488
64030,"Broomfield",3,4504858.6,0,5319847.8,9824706.4,23372.8,81898,0.0051325778082303
64039,"Center",2,299259,43252,12819,355330,925,25130,0.0152861337262451
64060,"Erie",2,3139514.6,0,2259428.6,5398943.2,6924.2,111745,0.00697768010255486
64060,"Erie",3,1956012.6,0,1315356,3271368.6,6924.2,111745,0.00422796883440869
64085,"Littleton",3,7803314.6,3e+05,373117.4,8476432,19519.8,65221,0.00665809926073103
64153,"Westminster",1,29728668,229945,12156743.4,42115356.4,44098.2,67081,0.0142370525903634
64198,"Northglenn",1,7014063.4,0,2536518,9550581.4,14319.2,55831,0.011946361397813
64205,"Longmont",2,8218173.2,1538173,3864298,13620644.2,35433,62208,0.00617935982885569
64205,"Longmont",3,5789516,915843.8,2453662.2,9159022,35433,62208,0.00415522876799069
64225,"Windsor",2,2483183,662789.2,494637,3640609.2,7712.2,80512,0.00586320614120818
64225,"Windsor",3,866930.2,232941,836476.8,1936348,7712.2,80512,0.00311849112646207
64237,"Berthoud",2,919694.8,1e+05,431451.2,1451146,2131.4,59477,0.0114471425978259
64237,"Berthoud",3,786757,95000,451220.6,1332977.6,2131.4,59477,0.0105149893028735
64258,"Bennett",2,436939.2,92813.4,132884.6,662637.2,898,50750,0.0145399673055613
64258,"Bennett",3,238036.6,61817.6,38417.2,338271.4,898,50750,0.00742254599712552
64263,"Central City",2,541357.6,0,329820,871177.6,493,47132,0.0374924578487349
64264,"Thornton",2,16632502.6,3982919.8,5938236,26553658.4,43906.8,66948,0.00903347756585387
64264,"Thornton",3,8771312,1380836.6,1975985.4,12128134,43906.8,66948,0.00412595600780454
64266,"Johnstown",2,1191722.6,11662.8,299079,1502464.4,3978.2,81313,0.00464469919471212
64266,"Johnstown",3,1032063.2,27500,134040,1193603.2,3978.2,81313,0.00368988963854705
