geoname,geonum,b25077001,b25077_moe001,b19013001,b19013_moe001
Floyd Hill,10827175,379500,47095,81683,15541
Fort Carson,10827370,,,44133,5089
Fort Collins,10827425,265900,3040,55647,1539
Fort Garland,10827535,93600,6139,38036,22844
Fort Lupton,10827700,150200,10981,50191,4212
Fort Morgan,10827810,124300,8276,45403,5624
Fountain,10827865,185000,10468,57057,4569
Fowler,10827975,83700,2886,30850,5076
Foxfield,10828105,564000,50641,108750,16238
Franktown,10828250,293200,43354,102981,72447
Fraser,10828305,276300,21226,45938,12089
Frederick,10828360,243000,6553,89386,4474
Frisco,10828690,473100,59419,70893,13364
Fruita,10828745,200100,13949,55864,5495
Fruitvale,10828800,176900,7539,52635,5532
Fulford,10828830,,,,
Garden City,10829185,106900,46147,26354,7270
Garfield,10829295,,,,
Genesee,10829625,615100,30680,143235,15430
Genoa,10829680,49000,36004,37321,5689
Georgetown,10829735,252000,21203,62375,12279
Gerrard,10829845,140900,115100,51184,7626
Gilcrest,10829955,133800,27696,46875,15152
Glendale,10830340,119100,17077,37189,3658
Glendale,10830350,,,,
Gleneagle,10830420,306100,20654,106030,8530
Glenwood Springs,10830780,321100,25829,49538,6803
Golden,10830835,399300,21540,58998,4475
Goldfield,10830890,85000,49250,82750,4152
Gold Hill,10830945,351600,70395,,
Granada,10831550,67500,7298,28173,5376
Granby,10831605,192800,35263,50125,14966
Grand Junction,10831660,205800,6572,45358,2258
Grand Lake,10831715,411100,122634,51667,22284
Grand View Estates,10831935,352900,29998,86336,2949
Greeley,10832155,173200,3176,48813,1841
Green Mountain Falls,10832650,205700,22317,52500,15458
Greenwood Village,10833035,805600,37864,117500,9164
Grover,10833310,103100,42512,,
Guffey,10833420,212500,190736,24732,20751
Gunbarrel,10833502,405800,23666,80367,5622
Gunnison,10833640,203100,50675,35871,7930
Gypsum,10833695,319600,36948,88698,14839
Hartman,10834520,,,,
Hasty,10834685,61300,21670,46250,24990
Haswell,10834740,50800,40484,42500,7455
Haxtun,10834960,97600,5020,39167,7615
Hayden,10835070,240800,30579,54013,6577
Heeney,10835400,,,,
Hidden Lake,10835860,,,,
Highlands Ranch,10836410,354400,4140,108570,3441
Hillrose,10836610,81800,19871,33750,6513
Hoehne,10836940,,,49167,27311
Holly,10837215,72500,31802,34615,11217
Holly Hills,10837220,325600,17144,106944,13056
