"LG_ID","NAME","CM_FUND_TYPE_ID","EXP_PRINCIPAL","EXP_INTEREST","EXP_OPERATING","EXP_TRANSFER_OUT","rev","housingunits","mhi","s5metric"
15003,"Cedaredge",3,0,0,243489.4,111463,354952.4,1181.8,33030,0.00909321705161239
15005,"Crawford",2,0,0,66974.4,0,66974.4,212,35192,0.00897695445362797
15005,"Crawford",3,21580.6,1029.8,80643.2,0,105514.64,212,35192,0.0141427189712928
15015,"Delta",2,0,0,1418919.8,258611.2,1677531,3857,42314,0.0102786678881808
15015,"Delta",3,64813.2,98419,711558.8,211034.4,1102148.62,3857,42314,0.00675315068895703
15020,"Hotchkiss",2,97465.8,2407.2,123761.8,94209,327831.1,471,31818,0.0218754182993269
15020,"Hotchkiss",3,22212.8,26506.6,66027.6,81522.8,201141.74,471,31818,0.0134217275296775
15022,"Orchard City",2,0,0,505005.2,3000,508005.2,1422.8,40288,0.00886234378150636
15025,"Paonia",2,53915.8,18676.4,358864.4,80185.2,518901.02,788.8,40759,0.0161396496160805
15025,"Paonia",3,22534.8,78475,204110.4,29887,345108.18,788.8,40759,0.0107340800849519
16002,"Denver",2,31076800,16534800,166372000,0,218744760,289289.6,53637,0.0140974433565895
16002,"Denver",3,3374400,1542400,80595200,436200,86439880,289289.6,53637,0.00557079087083225
17003,"Dove Creek",2,33320.4,3096.8,163692.8,13640,217391.72,360,36688,0.0164594932645249
17003,"Dove Creek",3,0,0,69837.6,0,69837.6,360,36688,0.00528765082134031
17007,"Rico",2,7926.6,984.8,104102.8,0,113905.34,210.4,31458,0.0172094599184331
17007,"Rico",3,0,0,25289,0,25289,210.4,31458,0.00382080446691309
18003,"Castle Rock",2,2596200,1439742,9506334.8,32530.8,13978401.8,18300.2,88294,0.00865108325516739
18003,"Castle Rock",3,270257.6,122822.6,5040302.2,710.6,5473401.02,18300.2,88294,0.00338742930632729
18021,"Larkspur",1,6566.25,2951,134745.75,0,145214.725,90,44688,0.0361058213490074
18021,"Larkspur",2,6084,3433,87723,0,98191.7,90,44688,0.0244141355372558
18021,"Larkspur",3,0,0,56705,0,56705,90,44688,0.0140989875482357
19003,"Avon",2,0,0,120625,409839.8,530464.8,3628,48022,0.00304473184079495
19009,"Eagle",2,147404,117002.2,895856,50000,1236702.82,2425.2,78066,0.00653214571705248
19009,"Eagle",3,517299.2,469216.4,637234.4,0,1722401.56,2425.2,78066,0.0090975598917115
19020,"Gypsum",2,9799.4,15890.2,790532,82716,901506.56,2258,88698,0.00450122918861967
19020,"Gypsum",3,277799.8,126399.8,487425,2402.4,934446.96,2258,88698,0.00466570085920276
19024,"Minturn",1,63863.25,29223,856321.75,19646.5,978363.125,535,63947,0.028597371596718
19024,"Minturn",2,44994,24944,609350,31399,717680.8,535,63947,0.0209776758761527
19026,"Red Cliff",1,67497.6,36969.6,257030.8,0,371944.72,141.2,68125,0.0386667068638407
20004,"Elizabeth",1,284002.2,172171.6,542509.4,0,1044300.58,531.6,53542,0.0366898517732217
20005,"Kiowa",2,699106.8,157931.6,191862,26000,1160604.24,322,58750,0.0613508254261927
20005,"Kiowa",3,473958.4,100859.8,196550,0,828850.02,322,58750,0.0438139299590326
20006,"Simla",2,43151.4,5886.2,82933,0,136874.36,266,41953,0.0122652793163277
20006,"Simla",3,1740,0,81282.6,0,83196.6,266,41953,0.00745522782476416
21006,"Calhan",2,20313.4,14223.6,163172.4,17030.4,218193.5,349.4,45179,0.0138223630019534
21006,"Calhan",3,6482.2,2254.8,116464.2,8300,134374.9,349.4,45179,0.00851252968649934
21026,"Fountain",2,626276.4,1003114,4888851.4,271457.6,6952638.44,9663.2,57057,0.0126101352268123
21030,"Manitou Springs",2,203760.2,28974.4,741190.8,93003.4,1090202.26,2848.2,49139,0.00778951255670751
21030,"Manitou Springs",3,31044.8,1388,658694,40794.8,735164.88,2848.2,49139,0.0052527648071564
21032,"Monument",2,278903.8,87464.4,952411.6,0,1355416.62,1921.2,93341,0.0075583635861017
21034,"Palmer Lake",2,224975.8,53828.8,525139.4,0,831824.46,1099.2,58621,0.0129092717865164
21036,"Ramah",2,1370,2695.4,30325.2,0,34797.14,68,31250,0.0163751247058824
21036,"Ramah",3,1390,2683,7752.2,0,12232.5,68,31250,0.00575647058823529
22001,"Brookside",2,3193.6,4635.4,38816.2,4105.6,51533.7,103.2,47679,0.0104733228075156
22002,"Canon City",2,358447.8,510299,3651973.6,362209,4969804.08,7313,38323,0.0177330809132543
22006,"Coal Creek",2,2079,0,123445.4,325.2,126057.5,160,40625,0.0193934615384615
22011,"Florence",2,802847,540160.6,1173299.2,284015,2934622.56,1747,36220,0.0463778808951339
22018,"Rockvale",2,48377.6,0,125443.6,1200,179858.96,231.8,36923,0.0210146260352883
22019,"Williamsburg",2,24303.6,20904.4,139653,0,189381.8,281.2,47417,0.0142032865933799
23004,"Carbondale (was 12030 prior to 1990)",2,162131.6,17849.6,762110.2,157699.8,1117789.32,2476.4,62770,0.00719096262987377
23004,"Carbondale (was 12030 prior to 1990)",3,0,0,850926.6,172253.2,1023179.8,2476.4,62770,0.00658232063394712
23008,"Glenwood Springs",1,1322638.8,885239.8,2569542.8,6073482.6,11071691.86,4139.8,49538,0.0539878659986447
