"measure","benchmark","count","min","1st Q","3rd Q","max"
"s3",18354.7579727062,272,0,9470.84988700324,35744.7433456271,3205584.66
"s4_joint",0.0139654350031474,52,0,0.00289059277591074,0.0246685591553828,0.0679780779804396
"s4_s",0.0016198206191416,144,0,0,0.00959712776504578,0.212558245411187
"s4_w",0.00427008262242547,189,0,0.000853881539043593,0.0135129458654401,0.792860220348372
"s4_w+s",0.00852827701344246,193,0,0.0016013376272114,0.0208116674171062,0.792860220348372
"s4_ws",0.0123865338109901,187,0,0.00291451915707465,0.0241505409334485,0.228496242231536
"s5a_joint",0.0252449293750708,52,0.00683350684222353,0.0173680389697526,0.0320429814098938,0.116335456227811
"s5a_s",0.008135732550482,144,0.000966476364753618,0.005830250047538,0.0118986881055648,0.0789702078568009
"s5a_w",0.0123364384049287,189,4.94740781804226e-05,0.00957293278863033,0.0174655452038818,1.241426716141
"s5a_w+s",0.0197640124899644,193,4.94740781804226e-05,0.0135073328206602,0.0258535862209245,1.241426716141
"s5a_ws",0.0221075464035853,187,0.00124771994281865,0.0161620107130886,0.0287937916521452,0.116335456227811
"s5b_joint",0.022029813061669,52,0.00574150095238095,0.0175402131586211,0.0307745738135151,0.10233586913661
"s5b_s",0.00745876094631257,144,0.000861143499496658,0.00526148631070238,0.0107098586819006,0.0838088794616735
"s5b_w",0.0121537529094412,189,0.000267278739806002,0.00885303507471798,0.0162011204536602,0.875141743970315
"s5b_w+s",0.0203810004995083,187,0.00112842223930266,0.0159637167014078,0.0270009618414988,0.105164755385225
"s5b_ws",0.0203810004995083,187,0.00112842223930266,0.0159637167014078,0.0270009618414988,0.105164755385225
