"LG_ID","NAME","EXP_OPERATING","EXP_TRANSFER_OUT","DEPRECIATION","cost","housingunits","mhi","s5metric"
30065,"Morrison",513451.2,0,224118,737569.2,141,59583,0.0877932838904143
31002,"Eads",204531.2,20000,89087.8,313619,352,36150,0.0246462812775053
32001,"Bethune",41404.4,0,33321,74725.4,84,37500,0.0237223492063492
32004,"Burlington",668222.6,173095.4,104521.4,945839.4,1479.6,42457,0.0150564911999796
32010,"Flagler",135792.2,8800,64077,208669.2,328,26125,0.0243516396312289
32015,"Seibert",65023.2,3374,66070.6,134467.8,122.8,NA,NA
32020,"Stratton",184354.8,10000,55906.6,250261.4,346,42632,0.0169661016121842
32023,"Vona",26302.2,20,3163.8,29486,61,31250,0.0154680655737705
34005,"Bayfield",840856.4,26159.6,471091.4,1338107.4,1004.8,64087,0.0207798019441923
34008,"Durango",4762070.6,556863.2,1760905.8,7079839.6,7961.2,57024,0.0155950656066321
34015,"Ignacio",600561.4,23000,52802.4,676363.8,309.8,48333,0.0451705303495092
35009,"Fort Collins",25514171.4,3978514.2,9666751,39159436.6,62259.6,55647,0.0113028601145747
35026,"Loveland",12082686.6,2408202.6,5454215.6,19945104.8,29454.6,56277,0.0120323998396589
35047,"Wellington",1335704.4,0,748709.6,2084414,2355,76917,0.0115072283916374
36001,"Aguilar",221106.6,0,93811.4,314918,290,36701,0.0295884073439698
36004,"Cokedale",67195.4,0,21278.8,88474.2,94.6,57857,0.0161647725103093
36011,"Trinidad",2741795.4,456084.4,582728,3780607.8,4365.4,43819,0.0197640124899644
37002,"Arriba",77823.2,0,42990.4,120813.6,129,36071,0.0259637807347654
37004,"Genoa",56041.8,800,53139.6,109981.4,84,37321,0.0350821891415659
37006,"Hugo",187842.4,7400,9703,204945.4,409.4,32321,0.0154883640288437
37007,"Limon",525259.2,0,332137.2,857396.4,966,31776,0.0279322102543894
38002,"Crook",42321.4,0,3468.6,45790,76,38125,0.0158032786885246
38005,"Fleming",89108,0,11600,100708,204.4,41875,0.0117659841691737
38007,"Iliff",41335.8,17554.2,16180.4,75070.4,128.2,36250,0.0161537253214266
38011,"Merino",77721,0,5219,82940,120.8,39773,0.017262700927099
38016,"Peetz",48023.6,13200,5694.8,66918.4,106,34750,0.0181670693633772
38019,"Sterling",2571681.2,515438.4,833102.8,3920222.4,5408.8,35732,0.020283946557863
39011,"Collbran",167225.6,4840,89596.4,261662,223.2,32361,0.0362263461738038
39012,"De Beque",251260,0,124191.2,375451.2,224.2,44000,0.0380596869678047
39034,"Palisade",773531.6,0,408653.6,1182185.2,1292.2,43167,0.0211935600157628
40001,"Creede",196154.8,22000,89029.4,307184.2,272,32188,0.0350861711342919
41004,"Craig",3019772.6,14726.6,844424.4,3878923.6,4088.2,49590,0.0191330842362882
41005,"Dinosaur",76899.8,0,78470.8,155370.6,175,42083,0.0210971651260604
42008,"Dolores",300975.2,6656.2,128590,436221.4,501.6,34813,0.0249808947334977
42016,"Mancos",270225.4,174770.8,205880.8,650877,615.8,36729,0.0287773061033186
43004,"Montrose",4643353.6,795843,2651218.2,8090414.8,8715.2,41717,0.0222525795044836
43005,"Naturita",269324.4,0,43862.4,313186.8,316,32813,0.0302044149682879
43007,"Nucla",341652.2,0,96270.8,437923,369.4,30000,0.0395166035011731
43012,"Olathe",411797.8,8000,137744.2,557542,634,36569,0.0240477941832962
44001,"Brush",1187118.2,448400,359825.8,1995344,2295,44457,0.0195566713187838
44006,"Fort Morgan",4409658.2,0,1740265.8,6149924,4281.2,45403,0.0316387766255197
44007,"Hillrose",85185,0,39166.4,124351.4,124,33750,0.029713596176822
44009,"Log Lane Village",319946.2,0,64647,384593.2,344,35083,0.0318673855819654
44016,"Wiggins",257121.4,0,90092.4,347213.8,344.6,48000,0.0209913547107758
45001,"Cheraw",69255.6,1000,28805.4,99061,115,36429,0.0236459963216119
45004,"Fowler",384360.4,484.4,107024.8,491869.6,597,30850,0.0267067156419591
45007,"La Junta",2594655.8,233240,856257.2,3684153,3423.2,31113,0.0345910301094187
45009,"Manzanola",176602.6,0,55178.8,231781.4,198,29844,0.0392244046144328
45014,"Rocky Ford",1101012.2,418,359537.6,1460967.8,1869,27088,0.0288572141227988
45015,"Swink",149628.8,25000,85816,260444.8,286,36932,0.0246573744678369
46007,"Ouray",528636.2,0,197712.2,726348.4,799.8,66750,0.0136054313203769
46009,"Ridgway",513124.2,9323,112168.8,634616,513.2,51442,0.0240384535256515
47001,"Alma",141442.6,0,58297,199739.6,191.8,45000,0.0231421156297069
48004,"Haxtun",195455.4,18000,31391,244846.4,500.2,39167,0.0124976894119928
48005,"Holyoke",1866151,333500,145926.5,2345577.5,1035.2,43419,0.0521850022887223
48006,"Paoli",8229.25,117,0,8346.25,23,29750,0.012197661673365
50007,"Granada",494389.5,18000,63985.5,576375,243,28173,0.0841910190695671
50011,"Holly",178654.6,12315,34770.4,225740,382.4,34615,0.0170540016692887
50012,"Lamar",1330780.2,381991.6,387744.8,2100516.6,3675.4,35487,0.0161046844765788
51005,"Boone",123210.8,0,76356.8,199567.6,183.2,25000,0.043573711790393
51016,"Pueblo",30743666.4,52498,6330707.6,37126872,47844,34550,0.0224601590480204
51018,"Rye",98881,6000,94334,199215,115,55938,0.0309682925350582
52015,"Rangely",810835.8,44072.8,610142,1465050.6,1029.8,68750,0.0206931704302689
53002,"Del Norte",443163.8,0,135923,579086.8,855.8,29032,0.0233074321258904
53005,"Monte Vista",1093586.2,211602.6,168883.4,1474072.2,1972.4,37188,0.0200965237018189
54005,"Hayden",675851,0,356311.2,1032162.2,812,54013,0.0235338846997151
54010,"Oak Creek",374764,7181,182156.2,564101.2,511.8,39773,0.0277120332761418
54023,"Steamboat Springs",2678553.2,31884.8,1133458.8,3843896.8,10022.4,56125,0.00683350684222353
54030,"Yampa",204215,0,33993.2,238208.2,215.2,56458,0.0196059978658347
55004,"Crestone",36191.4,4473.8,37730.8,78396,112.8,25625,0.0271219512195122
55008,"Saguache",149800.2,0,42167.8,191968,345.8,27386,0.0202710034471941
56002,"Silverton",147529.4,272140.8,71105,490775.2,503,35699,0.0273311919847619
57014,"Telluride",1082098.4,354838.2,528833.2,1965769.8,2097,62000,0.0151196778808436
57027,"Mountain Village",1385017.6,240705.2,609418.4,2235141.2,2074.8,35568,0.0302879081245798
58004,"Julesburg",337861.6,0,147056,484917.6,730.2,41500,0.0160021383809684
58007,"Ovid",65459.8,0,27989.6,93449.4,176,25417,0.0208900539009324
58012,"Sedgwick",59350,1200,19242,79792,110,29375,0.0246938491295938
59009,"Dillon",1084602.2,5600,272781.8,1362984,1290.8,54688,0.0193081098027668
59018,"Silverthorne",1717413.4,267581.6,877710.6,2862705.6,2105.4,70938,0.0191673965957501
60001,"Cripple Creek",1606051.6,0,895110.8,2501162.4,728.4,34107,0.100676575110145
60012,"Victor",548645.2,633842,331954.6,1514441.8,339.6,38333,0.116335456227811
60015,"Woodland Park",1947607.6,125483.6,644884.8,2717976,3225.6,64945,0.0129744628238546
61002,"Akron",378352.6,0,136707,515059.6,844.4,40972,0.0148875110744485
62003,"Ault",552348.8,30000,144173.4,726522.2,616.8,50368,0.0233856700546494
62008,"Eaton",1118729.6,32966,580432.4,1732128,1729,69242,0.0144682293727823
62011,"Evans",3828924.8,1011455,1190156.4,6030536.2,6847.6,47791,0.0184277124808712
62014,"Fort Lupton",2807261.6,0,1048352,3855613.6,2552.6,50191,0.0300943446258594
62020,"Gilcrest",271837.8,6612.6,69682,348132.4,346,46875,0.0214648107899807
62022,"Greeley",20735364.6,1855580.2,9342270,31933214.8,36553.4,48813,0.0178969639626083
62023,"Grover",53187.4,54564,10715.4,118466.8,90,NA,NA
62029,"Hudson",862190,41925,278727,1182842,561.2,49306,0.0427473604478342
62033,"Keenesburg",398072.6,6436.2,114730.2,519239,465.2,53264,0.0209552970237061
62035,"Kersey",453929.4,0,145654.4,599583.8,533.4,55179,0.0203715021133151
62037,"La Salle",777160,0,116395.4,893555.4,748.4,48906,0.0244132479146122
62038,"Lochbuie",1722512.2,0,339970.6,2062482.8,1870.4,49415,0.0223150077463206
62043,"Milliken",1089558.8,136973.2,572317.8,1798849.8,1999.2,72273,0.012449805790898
